time;sender;message;receiver
136.0;CDR; Inboard. [Pause.];CAPCOM
147.0;CAPCOM;We confirm inboard out, 13. You're looking good.;CDR
149.0;CDR; Roger. [Long pause.];CMP
162.0;CDR;Coming up on 4 g.;CMP
165.0;CMP; Got a little flash out the window.;CDR
168.0;CDR; S-II ignition.;CMP
170.0;CMP; [Garble.];LMP
171.0;LMP; Yes.;CMP
172.0;CAPCOM; Roger. [Pause.];CDR
173.0;CDR;" We have half a g; looks good.";CAPCOM
177.0;CMP;Okay, 3 min. That's the babe.;CAPCOM
180.0;CAPCOM;"13, Houston. Trajectory is good; thrust is good.";CMP
184.0;CDR; Roger. [Pause.];CAPCOM
185.0;CMP; She's right on, Jim.;CDR
186.0;LMP; Stand by for tower Jett.;CDR
195.0;CDR; Skirt Sep [garble] Tower Jett.;LMP
197.0;CDR; Roger.;CAPCOM
198.0;LMP; Tower Jett.;CAPCOM
199.0;CMP; Beautiful.;CAPCOM
201.0;CAPCOM;" We confirm skirt SEP. Roger. Tower Jett; mode II, Jim. Looking good.";CMP
202.0;LMP; Look at that.;CMP
204.0;CDR; Mode II. [Pause.];LMP
208.0;LMP; Look at the horizon out there.;CMP
209.0;CMP; Yes. There it comes.;LMP
212.0;LMP; That plume!;CMP
213.0;CDR; Guidance initiate. [Pause.];LMP
214.0;LMP; That plume! Boy, is she boiling. That really...;CMP
218.0;CMP; Here.;LMP
219.0;LMP; ...points away, there. Window is not too bad.;CAPCOM
223.0;CAPCOM;13, Houston. Guidance is good, and the CMC is Go.;CMP
227.0;CMP; Okay. Thank you.;CDR
228.0;CDR;"13; Roger. [Long pause.]";CAPCOM
229.0;CMP;" Okay, we're Mode II; I'm set for staging.";CDR
232.0;CDR; Mode II. Got them all Rate Command and hang on.;CMP
240.0;CDR; Four minutes.;CMP
243.0;CMP; Okay, Jim, we're right on.;CDR
244.0;CDR; Okay.;CMP
245.0;CMP; Trajectory's looking good.;CDR
246.0;CDR; Want a little bit more light?;CMP
247.0;CMP; No, no. That's it...;CDR
248.0;CDR; How's this?;CMP
249.0;CMP; Yes. That's fine.;CDR
252.0;CDR;04:11.;LMP
253.0;LMP; Cabin's settled out very nicely.;CDR
254.0;CMP; Yes.;CDR
255.0;CDR; Okay.;CMP
256.0;CAPCOM;13, Houston. You are Go at 4 minutes. The little red lines are right on the little white lines down here.;CDR
262.0;CDR; Sounds good. [Long pause.];CAPCOM
270.0;CDR; Coming up on one g.;CAPCOM
271.0;CMP; Boy, we're right on. We're about a mile and two-tenths high, though, but we're right on V<sub>i</sub> and right on H-dot.;CDR
276.0;CDR; That's [garble] One g. You could walk around here.;CMP
291.0;CMP; I bet I never had such a view. Freddo [garble]...;CDR
295.0;CAPCOM;13, Houston. Coming up 5 minutes. You're looking perfect. Over.;CDR
299.0;CDR;"13; Roger. [Long pause.]";CAPCOM
304.0;CMP;Okay. Watching 8.;CDR
332.0;CDR; Inboard.;CMP
333.0;CMP; Inboard.;CAPCOM
336.0;CAPCOM; Rog. We confirm inboard out. [Pause.];CMP
338.0;CDR; That shouldn't have happened.;CMP
340.0;CMP;No. That's 7:42. That's 2 minutes early.;CDR
344.0;CAPCOM;13, Houston. Stand by for S-IVB to COI capability.;CDR
348.0;CDR; S-IVB to COI. Roger.;CAPCOM
349.0;CAPCOM; Roger. You've got it now, Jim.;CDR
352.0;CDR; We've got S-IVB to COI. [Pause.];CAPCOM
353.0;CMP;Okay. Gim(bal) motors, Jim. Set 1.;CDR
355.0;CDR;Okay. Pitch 1.;CMP
357.0;CMP; Good.;CDR
358.0;CDR;Yaw 1.;CMP
359.0;CMP;Good. Pitch 2.;CDR
360.0;CDR;Pitch 2.;CMP
361.0;CMP; Good.;CDR
362.0;CDR;Yaw 2 ...;CMP
363.0;CAPCOM;You're Go at 6 minutes, 13.;CMP
366.0;CMP;Go at 6.;CDR
370.0;CDR;And, Houston, what's the story on engine 5?;CAPCOM
374.0;CAPCOM; Jim, Houston. We don't have a story on why the inboard out was early, but the other engines are Go and you are Go. [Pause.];CDR
381.0;CDR; Roger. [Long pause.];CAPCOM
384.0;LMP; Okay. We're - we're a little bit low on H-dot, now, but that's to be expected.;CDR
388.0;CDR; Okay. We're Mode II, gentlemen, Mode II.;CAPCOM
401.0;CAPCOM;"13, Houston. Still looking good. Your gimbals are good; trim is good.";CDR
405.0;CDR; Roger. [Pause.];CAPCOM
406.0;CDR; We just checked the trim. It doesn't fit.;CAPCOM
413.0;CAPCOM;"13, Houston. Level sense arm time, 8 plus 38 nominal; S-II cut-off time, 9 plus 48. Over. [Pause.]";CDR
422.0;CDR;Roger. Nominal on the level sense arm, 9:48 on the S-II cut-off.;CAPCOM
426.0;CMP; It's going to run...;CAPCOM
428.0;CAPCOM; That's affirmative, and stand by for S-IVB to orbit.;CMP
431.0;CAPCOM; Mark.;CDR
432.0;CAPCOM; You have S-IVB to orbit, Jim.;CDR
434.0;CDR; Roger. We have S-IVB to orbit. [Long pause.];CAPCOM
443.0;CDR; Didn't like that inboard.;CAPCOM
452.0;CMP;Okay, we're 1,400 feet a second low on V<sub>i</sub>. That's not too bad.;CDR
458.0;CDR; Watch the trajectory closely, Jack.;CMP
461.0;CMP; Yes, [garble].;CDR
468.0;CMP;"We're right at 8 [garble] - H-dot is a little bit low; V<sub>i</sub> is low, but that's understandable.";CDR
473.0;CDR; Okay.;CMP
476.0;CMP; You're S-IVB to orbit capability now.;CDR
482.0;CAPCOM;13, Houston. Looking good at 8 minutes. [Long pause.];CDR
484.0;CDR;"13; Roger.";CAPCOM
485.0;CDR; How's those systems, Fred? Are there any...;LMP
488.0;LMP; They're looking good.;CDR
493.0;CMP; Okay, now, H-dot is low, Jim [garble]. S-IVB ought to pick you up.;CDR
499.0;CDR; Yes. Hey, I got a - We got a funny vibration;LMP
507.0;LMP; Yes. Yes, there was a bit of noise, there. Yes.;CDR
511.0;CMP; [Garble].;LMP
525.0;CAPCOM;Apollo 13, Houston. Mark, level sense arm.;CDR
528.0;CDR; Mark level sense arm. Roger. [Pause.];CAPCOM
538.0;CAPCOM;"Apollo 13, Houston. At 9 minutes, you're Go; the CMC is Go.";CMP
542.0;CMP; Okay, Joe.;CAPCOM
544.0;CDR;"13; Roger. [Long pause.]";CAPCOM
559.0;CAPCOM;13, Houston. You are Go for staging.;CDR
562.0;CDR;"13; Roger. Go for staging. [Long pause.]";CAPCOM
585.0;CAPCOM;Apollo 13, Houston. Stand by for mode IV capability.;CDR
588.0;CAPCOM; Mark.;CDR
589.0;CAPCOM; You have mode IV, Jim.;CDR
590.0;CDR; Mode IV. Roger. Staging. [Pause.];CAPCOM
597.0;CAPCOM; Roger. Staging.;CDR
600.0;CDR; And S-IV ignition, Houston.;CAPCOM
604.0;CAPCOM; Roger that, Jim. Thrust looks good.;CDR
607.0;CDR; Roger. [Pause.];CAPCOM
617.0;CAPCOM;13, Houston. You're looking good. Trajectory, guidance, CMC are all Go.;CDR
623.0;CDR; Thank you, Joe. [Long pause.];LMP
628.0;LMP;"Right on 8; good on H-dot; 200 feet a second low on V<sub>isp</sub>.";CDR
632.0;CDR; Remember, we're Mode IV now.;LMP
634.0;LMP; Yes, I got that. Mode IV.;CDR
646.0;LMP; Looks good...;CDR
649.0;CDR; What?;LMP
651.0;LMP; Everything looks good.;CDR
654.0;CDR; Everything looking good.;LMP
657.0;LMP;" We're looking good, Jim; trajectory's looking good.";CDR
660.0;CDR; Okay, [garble].;LMP
669.0;CAPCOM;13, Houston. At 11 minutes, you're Go. Predicted cut-off on the S-IVB is 12 plus 34. Over. [Long pause.];CMP
675.0;CMP; [Garble];CAPCOM
679.0;CDR; What?;LMP
683.0;LMP;Okay, going to [garble] dead band now, guys. We're 102.5 - shutdown velocity...;CDR
692.0;CDR;25,562.;CAPCOM
695.0;CAPCOM;Apollo 13, Houston. You're Go at 11Â½, and predicted cut-off time is 12 plus 34. Over. [Pause.];CDR
702.0;CDR;"Understand; 12 plus 34 predicted cut-off time.";CAPCOM
705.0;CAPCOM; That's affirm. [Long pause.];CDR
706.0;LMP;25,562 looks good.;CMP
718.0;CMP; Okay - Do we shut down at - Freddo?;LMP
722.0;LMP; Yes.;CMP
723.0;CMP; What's - Shutdown is when?;LMP
725.0;LMP;" [Garble] you get the last page, Jack; you got the clean-up stuff.";CDR
734.0;CDR; Stand by for SECO.;LMP
735.0;LMP; All the systems stuff. You got to [garble] SECO.;CMP
738.0;CMP; Yes.;LMP
740.0;LMP; I'm going to just jump right in [garble].;CDR
751.0;CDR; SECO.;LMP
752.0;CAPCOM; Copy SECO, Jim. We're looking at the DSKY.;CDR
756.0;CDR; Roger. [Long pause.];CAPCOM
782.0;CAPCOM;Apollo 13, Houston. You have a Go orbit all sources, and the booster is safe. Over.;CDR
787.0;CDR; Go orbit and the booster is safe. Thank you, Joe.;CAPCOM
790.0;CAPCOM; Don't mention it. [Long pause.];CDR
810.0;CAPCOM;13, Houston. We copy your Noun 44.;CMP
814.0;CMP; Okay, Joe.;CAPCOM
897.0;CAPCOM;Apollo 13, Houston. Your preliminary orbit down here is 102.5 times 100.3 [nautical miles, 189.8 by 185.8 km], and everything is looking good.;CMP
906.0;CDR; Roger, Houston. And it looks good to be up here again.;CAPCOM
910.0;CAPCOM; I'll bet. [Long pause.];CDR
934.0;CAPCOM;Apollo 13, Houston. I have your Z torqueing angle. You ready? [Pause.];CDR
942.0;CDR; Jack is ready to copy, Joe.;CAPCOM
944.0;CAPCOM;Okay. It's plus decimal 26. Over. [Pause.];CMP
952.0;CMP;Okay, Joe. Plus 0.26.;CAPCOM
955.0;CAPCOM; That's Roger.;CDR
964.0;CAPCOM;Apollo 13, Houston.;CDR
967.0;CDR; Go ahead, Houston.;CAPCOM
969.0;CAPCOM;Okay. Couple minutes to LOS, Jim. Everything is looking real good. Your AOS time at Carnarvon will be 52:36, and we don't have too much of a handle on why the inboard cut off early except that it apparently was an engine problem and not a switch select function. But we're certain that you'll be able to make TLI based on what we're looking at now.;CDR
996.0;CDR; Roger. There's nothing like an interesting launch.;CAPCOM
999.0;CAPCOM; That's right. [Long pause.];CDR
1059.0;CAPCOM;Apollo 13, Houston. Canary LOS in 30 seconds. Request Command Reset, please.;CDR
1066.0;CDR; Roger. Command Reset coming on.;CAPCOM
1069.0;CAPCOM; Thank you. [Long pause.];CMP
1070.0;CMP;" Hey, you guys, are you ready? I've done my other item there; I'm ready to give you - [garble].";CAPCOM
1075.0;CDR; Well, all right, fine. Let's just get this one done first.;CMP
1078.0;CMP; Okay.;CDR
1079.0;CDR; What else do you have to do here?;LMP
1080.0;LMP; Okay. Going Bit Rate.;CDR
1085.0;CAPCOM;Apollo 13, Houston. Request Low Bit Rate, please. Over.;CDR
1089.0;CDR; Low Bit Rate.;CAPCOM
1091.0;SC; Okay.;CDR
1092.0;CDR; Okay. The pressure's okay?;LMP
1094.0;LMP;"Yes. Let's see now, Jim, there's one more reading there; you gave me the - you gave me the helium pressure, 4100. What's the manifold pressure on that one?";CDR
1104.0;CDR;The manifold pressure is reading about 80.;LMP
1110.0;LMP;Eighty? Okay, give me the number 1, then.;CDR
1112.0;CDR;Okay, number 1. And helium temperature is 80, helium pressure is 4100, and the manifold pressure is about 100.;LMP
1123.0;LMP;Manifold's about 100. Okay.;CMP
1124.0;CMP; Okay, Freddo. Have a look - the cabin and suit doing? Before we...;LMP
1127.0;LMP;They're both pretty equal, now, at about 5/5.;CMP
1130.0;CMP; Okay.;CDR
1131.0;CDR; Well, let's - We'll break the [garble];CMP
1132.0;CMP; Okay, let's do it. Freddo, here's your bag.;LMP
1137.0;LMP; Okay. Jim.;CMP
1144.0;LMP; Okay, for that item, those two I can check off. You got the Z-torquing angle?;CMP
1148.0;CMP; Yes.;LMP
1149.0;LMP;"I've checked the caution and warning; you've done that. We're up - we're up to item 9.";CMP
1154.0;CMP; How we doing time line?;LMP
1156.0;LMP; We're a little behind, but it's the kind of stuff that we can catch up lickety-split with.;CMP
1162.0;CMP; Okay.;LMP
1169.0;LMP; Okay. Let me get - make sure I got this item. I want A, Simplex. Hell, it was already there. B to Off. No, it wasn't. It's just a hard switch again. They really fake you out, these switches...;CMP
1183.0;CMP; Yes. I've noticed...;LMP
1184.0;LMP; ...they move so hard.;CMP
1185.0;CMP; I've noticed that, Fred.;LMP
1186.0;LMP;"Compared with the simulator. Okay, let me check item 13 off; I've completed that one. Let's see.";CMP
1195.0;CMP; Yes. I've got...;LMP
1202.0;CDR; Jack, be careful in your movements now.;CMP
1204.0;CMP; Yes. I'm not having any problems so far.;CDR
1206.0;CDR; Okay.;CMP
1208.0;LMP; PCM Bit Rate is Low. I did the Command Reset in Normal. I'll do it again, just to make sure. I have an A, Simplex, and B, Off. That's great. Jack, could you hand me one thing?;CMP
1223.0;CMP; What - what would you like?;LMP
1224.0;LMP; One of those spring jobbers, there, I can...;CMP
1225.0;CMP; Yes.;LMP
1226.0;LMP; ...flip across...;CMP
1227.0;CMP; I was going to ask you, if you wanted one of those, Fred.;LMP
1228.0;LMP; Yes. Okay. Now that'll take care of my checklist for me.;CMP
1240.0;CMP; A springy jobber coming up.;LMP
1242.0;LMP;" Thank you. No, no; you got one of the other ones with the hook?";CMP
1249.0;CMP; I got the wrong kind?;LMP
1250.0;LMP; Yes. It's a little longer one with the hook.;CMP
1253.0;CMP; Are they in the same - They in the same - [garble]?;LMP
1260.0;LMP; Now that's a good question.;CMP
1262.0;CMP; Well, I'll tell you - Let me - I don't see them down here, now.;LMP
1266.0;LMP; Sure enough. It really is zero g.;CDR
1272.0;CDR; Well, gentlemen, I'll break out my two gold pens.;LMP
1275.0;LMP; The longest Napierian trajectory in the world.;CMP
1281.0;CMP; Yes. We had - I had a long boost ride, didn't we?;LMP
1284.0;LMP; Man!;CDR
1285.0;CDR;Twelve minutes and 30 some seconds.;LMP
1286.0;LMP; I'll tell you, gang, I was a little worried for a pinch or two.;CDR
1289.0;CDR;" When I called, 'Inboard,' I was - It was natural; then I looked at the time...";LMP
1292.0;CMP; Yes...;CDR
1293.0;CDR; ...and I said, 'That's not natural.';CMP
1294.0;CMP;We were 2 minutes early. Five minutes and 32 seconds, if you want to write that down.;CDR
1297.0;CDR; Okay, good. Okay, my helmet coming off.;CMP
1300.0;LMP; Shoot, if they recorded that...;CMP
1301.0;CMP; ...(Laughter) Yes...;LMP
1302.0;LMP; ...it'd be heck.;CMP
1303.0;CMP; (Laughter) I know it.;LMP
1309.0;CMP; Well, you know, I think I'll just - I'll just let this thing pull right up to the top.;LMP
1314.0;LMP; You haven't found that other one, yet, have you?;CMP
1315.0;CMP;" No, Fred; I haven't...";CDR
1317.0;CDR; What are you looking for?;LMP
1318.0;LMP; A clamp. Oh...;CMP
1320.0;CMP; I think those are down - those are in one of the lower...;LMP
1323.0;LMP; Okay. You want to give me that other one back here, I'll see if I - Trouble is, I got no hooks that are the right length apart for my goddamn [garble]. Fiddle with it. I'll just hang on to it tight and [garble].;CMP
1340.0;CMP; By golly! Guys!;LMP
1348.0;CMP; Hey, that's - All that stuff about the helmets being hard to get into the bag is the truth.;CDR
1360.0;CDR;Okay, let's see. At [garble] 52:36, we're going to pick them up over Canaries.;CMP
1365.0;LMP; Great...;CDR
1366.0;CDR; And, gentlemen, you are now passing the beautiful Atlantic Ocean.;LMP
1375.0;LMP; I'm glad we checked PGNCS.;CDR
1382.0;CDR; Say, I never thought - You guys want to take a look - look at - Excuse me a second. I'm going to turn out those floodlights. I wanted to show [garble] - When I turn out all the lights in just a second, you can see thunder and lightning on the horizon.;LMP
1400.0;CMP; Sure as hell can.;CDR
1401.0;CDR; And also, you might be able, if your eyes become accustomed to it - you might be able to see the - the airglow. There, you can. You can see the airglow.;CMP
1410.0;CMP; Yes. I sure can.;CDR
1411.0;CDR; See that airglow?;CMP
1412.0;CMP; I can see that lightning, too.;LMP
1414.0;LMP; Oh, I - I won't be able to see [garble];CMP
1415.0;CMP; Hey, that's...;LMP
1417.0;LMP; El Scorpio, isn't it?;CMP
1418.0;CDR; Yes, but see the - Antares is in the airglow layer.;CMP
1421.0;CMP; Yes, it is. Right in it.;CDR
1423.0;CDR; And then right below that, way - about a half a degree, that's...;CMP
1425.0;CMP; The next star down there?;CDR
1426.0;CDR; Yes.;LMP
1427.0;LMP; Yes.;CDR
1428.0;CDR; So, if you lift the lights, we'll see again.;CMP
1432.0;CMP; Okay, I'm ready for the main Reg check, Fred, if you're ready.;LMP
1435.0;LMP; Okay. Go ahead. I'll tell you when. [Garble] just call it on.;CMP
1440.0;CMP;Okay. Main Reg B going closed. Emergency Cabin Pressure selector 1, Push To Test.;LMP
1450.0;LMP; Did you Push To Test?;CMP
1451.0;CMP; Yes. There it is.;LMP
1452.0;LMP; Good.;CMP
1453.0;CMP; Okay.;LMP
1454.0;LMP; Good.;CMP
1455.0;CMP;" Main Reg B valve, Open; A going closed.";LMP
1459.0;LMP; Closed. Next step?;CMP
1460.0;CMP;Cabin - Cabin Pressure selector 2, Push To Test.;LMP
1465.0;LMP; Okay, that's good.;CMP
1467.0;CMP; Main Reg valve B ... or A, Open, and Emergency Cabin Pressure selector, closed. Okay, Jim. I got to get to ... to those [garble] here.;CDR
1479.0;CDR; Okay.;LMP
1488.0;CDR; Okay.;LMP
1489.0;CMP; [garble] down there?;LMP
1492.0;LMP;Up in L-2, Jack.;CMP
1493.0;CMP; Yes, that's where I'm looking.;LMP
1497.0;LMP; You're kidding. I thought you said the helmet was tough to get in this bag. Piece of cake. Have you got - have you got one of those big helmets?;CMP
1506.0;CMP; Yes - No, I don't think - unless I got a bigger head.;LMP
1509.0;LMP; You don't have a Borman special, do you?;CMP
1511.0;CMP; No.;LMP
1512.0;CDR; We all have Borman specials.;CMP
1513.0;CMP; Really?;CDR
1514.0;CDR; Yes.;CMP
1515.0;CMP; Maybe your damn bag won't fit anymore with that one [garble] have to slip it in this one.;LMP
1519.0;LMP; Yes. [garble] a little bit. I got a [garble];CMP
1531.0;CDR; Okay. Got a [garble]?;CMP
1534.0;CMP; Yes.;CDR
1537.0;CDR; Well, is there anything else we can be doing right now? Like COAS?;LMP
1539.0;LMP; Yes.;CDR
1540.0;CMP; You can...;CDR
1541.0;CDR; Yes.;CMP
1542.0;CMP; ...you can get out the ORDEAL box, if you could...;CDR
1543.0;CDR; Yes...;CMP
1544.0;CMP; ...could you do that, Jim?;CDR
1545.0;CDR; I'm going to try it right now.;CMP
1546.0;CMP; That would save me a trip down under there.;CDR
1547.0;CDR; Okay, that's right.;CMP
1550.0;CMP; Okay. Okay...;CDR
1553.0;CDR; You got to watch the time right now for...;CMP
1554.0;CMP; Yes.;CDR
1555.0;CDR; Okay.;CMP
1560.0;CMP; I don't - I got to go stow my water wings. You guys got your water wings on?;LMP
1565.0;LMP; No. I don't think I'm going to fiddle with that right now, Jack. They're not in my way.;CMP
1570.0;CMP; Yes. I'll trade. We can get that later.;LMP
1571.0;LMP; Hell, yes.;CMP
1573.0;CDR;Well, I'll tell you what - I blew mine on 8.;CMP
1577.0;CMP; Did you?;CDR
1578.0;LMP; Yes. But you were the guy that - Jack should take his off. He's the guy moving around.;CDR
1582.0;CDR; You're right.;LMP
1583.0;CMP; Okay. I'll take mine off.;CDR
1585.0;CDR; [Garble] really want [garble].;CMP
1590.0;LMP; Man, I'll tell you, that first stage...;CMP
1593.0;CMP; [Garble.];LMP
1594.0;LMP; When that shut down, man, I thought I was going through the instrument panel. I'll tell you, that was - I was so surprised [garble] I had heard about it.;CDR
1605.0;CDR; I should have warned you.;LMP
1607.0;LMP; [Laughter.];CMP
1608.0;CMP; Yes, well. Something else...;LMP
1609.0;LMP; Well...;CMP
1611.0;CMP; ...you got to get into.;LMP
1612.0;CDR; [Garble] right in [garble].;LMP
1613.0;LMP; Okay, let's see. Confirm normal, we've done that. We've stowed the water wings. Now it's the TSB is the only item left outstanding there.;CDR
1621.0;CDR; Okay, I have the ORDEAL in place. Now, do you want the camera bracket?;LMP
1629.0;CMP; Yes, you better leave that camera bracket up there.;CDR
1635.0;LMP; Yes. Yes, I can feel a little bit of the zero-g effect, a little flushing in the face.;CMP
1639.0;CMP; Yes.;LMP
1640.0;CDR; Yes, that's that - Your blood rushes to your head because your heart doesn't have anything to pump against.;CMP
1647.0;CMP; Yes, I can feel that, too.;CDR
1650.0;CDR; Okay, I have the camera bracket.;CMP
1653.0;CMP; Okay, have you got the - the ORDEAL mounted? I have...;CDR
1655.0;CDR; The ORDEAL is mounted.;CMP
1656.0;CMP; ...[Garble]...;CDR
1657.0;LMP; Okay, Jim. Are you ready to get busy on getting the RADs on the line?;CDR
1661.0;CDR; I sure am.;LMP
1662.0;LMP; Glycol Reservoir Bypass valve, Open.;CDR
1664.0;CDR; Okay, Glycol Reservoir Bypass valve to Open.;LMP
1670.0;LMP; Okay, Out valve, Close.;CDR
1672.0;CDR; Out valve, Close.;LMP
1674.0;LMP; The In valve, Close.;CDR
1676.0;CDR; The In valve going Close.;LMP
1679.0;LMP;Okay, now we need a little bit of quantity in the Accum - not the Accum, but we need the fuel valve on for about 5 percent on down to 45 percent. That's about what it was in the [garble], too.;CDR
1691.0;CDR; Okay, what I'm going to do is...;LMP
1692.0;LMP;CapCom said they wanted 50.;CDR
1693.0;CDR;...[Garble] the ORDEAL, then. The number 1 ball. Did you check the Verb 82?;CMP
1702.0;CMP; Yes, I did. I wrote it down.;CDR
1704.0;CDR; Okay.;CMP
1705.0;CMP; I did that whole thing.;LMP
1706.0;LMP; And we got the secondary RAD leak check to go. We got 'Unstow and mount TSB.';CMP
1712.0;CMP; Yes. I [garble] done that, too.;LMP
1715.0;LMP;"And I got water wings in my lap here. That's it on that item - that page; it's done. So we're hanging up here. Let me proceed ahead and see what I can. I can do a purge. There are not any left for another 12 minutes or so.";CMP
1733.0;CMP; Let me get the...;LMP
1734.0;LMP; [Garble.];CMP
1735.0;CMP; I got to get...;LMP
1736.0;LMP; EPS monitor check, I can do [garble] I've been looking ahead to see what Jim can do. It says a GDC align somewhere in this thing.;CDR
1741.0;CDR; Okay, I'm setting the ORDEAL right now.;LMP
1745.0;LMP; Okay, well, that's the next thing you can do is a GDC align. Okay, you may - you may get some Master Alarms here, gang. I'm going to be doing a purge check. I'll just do the...;CDR
1760.0;CMP; Fredo.;LMP
1761.0;LMP; Yes.;CMP
1762.0;CMP; Look what I got.;LMP
1763.0;LMP; What have you got?;CMP
1764.0;CMP; One with a hook on the end of it.;LMP
1766.0;LMP; Beautiful.;CMP
1767.0;CMP; Spring jobber-do.;LMP
1768.0;LMP; Now, is there anything I can be doing?;CMP
1774.0;CDR; I am giving you the sequence camera here, Jim.;CMP
1775.0;CMP; Thank you.;CDR
1778.0;CDR; Okay.;CMP
1779.0;CMP; I tell you, I haven't checked the setting.;CDR
1781.0;CDR; How about your optics?;CMP
1782.0;CMP;I've got them unstowed. Now. [garble] that'd be 32.;CDR
1797.0;CMP; [Garble] camera. Here's the power cable.;CDR
1801.0;CDR;Thank you. Okay, 18 millimeter, f:8, and 250th.;CMP
1812.0;CMP;Now, let's see. Let me give you a - it's f:8, 250th, 7 feet, 12 frames per second.;CDR
1819.0;CDR; Okay. Go.;CMP
1820.0;CMP; Magazine A.;CDR
1821.0;CDR; Magazine A is on.;CMP
1823.0;LMP; Hey, Jack, where'd you find these?;CMP
1825.0;CMP; I found it right down in - Fred, in this stowage...;LMP
1828.0;LMP; Do you have any longer ones?;CMP
1829.0;CMP; No.;LMP
1830.0;LMP; (Laughter);CMP
1831.0;CMP; No. It...;LMP
1832.0;LMP; But that wasn't quite that long.;CMP
1833.0;CMP;" Yes, I know they do. And I'll tell you where it is; it's down in...";LMP
1835.0;LMP; Okay.;CMP
1836.0;CMP;...A-8. Can you make do with that for a minute?;LMP
1838.0;LMP; Yes. I [garble].;CMP
1839.0;CMP; Until I get - Okay, have you got ORDEAL - You got ORDEAL mounted?;LMP
1847.0;CDR; I - I have ORDEAL mounted.;CMP
1849.0;CMP; There we go.;CDR
1850.0;LMP; Okay...;CMP
1851.0;CMP; I got to get...;LMP
1852.0;LMP; ...right after - When did we insert, gang? Twelve something?;CDR
1856.0;CDR;12:32 [garble];LMP
1858.0;LMP;Okay. I'm looking for where I put the first line heater on, so it was roughly about 14 minutes. We've been - we've been 20 minutes. Yes. [garble] Okay [garble].;CDR
1868.0;CDR; Don't forget I still got the radiators bypassed here.;LMP
1870.0;LMP;Yes. Okay, what I need though, Jim, is to - We got to pump up the - You want to - Let's finish that item. I need to pump up the accumulator a little bit. I mean use the accumulator to - Yes - to get it up to 50 percent.;CDR
1883.0;CDR; Okay, you tell me what you want me to do here and I'll...;LMP
1886.0;LMP; Can you reach the Prim Accum Fill valve, right there on your left?;CDR
1890.0;CDR; I'll try.;LMP
1892.0;LMP; Yes, that's the Primary. How are you doing, Jack?;CMP
1896.0;CMP; Okay.;LMP
1897.0;LMP; My countdown under way already?;CMP
1898.0;CMP; Yes. But, you want to have a few [garble]?;LMP
1904.0;LMP; Yes.;CDR
1917.0;CDR; Okay, I'm putting the cable for you.;LMP
1924.0;LMP;"Excuse me a second; I want to [garble] the O<sub>2</sub> flow. Okay. Looks good. But if we get a Master Alarm, it'll come on with the H<sub>2</sub>. Okay? Fuel cell 2. O<sub>2</sub> flow.";SC
1941.0;SC; [Garble.];LMP
